,page_url,car_name,car_brand,car_model,car_type,car_age,kilometers,fuel,power,cm,price,ad_no
110,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
111,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
112,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
113,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
114,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
115,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
116,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
117,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
118,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
119,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
120,https://www.polovniautomobili.com/auto-oglasi/21836367/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
121,https://www.polovniautomobili.com/auto-oglasi/21835548/alfa-romeo-145?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
122,https://www.polovniautomobili.com/auto-oglasi/21687218/alfa-romeo-147-putnicko-vozilo?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
123,https://www.polovniautomobili.com/auto-oglasi/21834807/alfa-romeo-147-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
124,https://www.polovniautomobili.com/auto-oglasi/21833260/alfa-romeo-156-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
125,https://www.polovniautomobili.com/auto-oglasi/21660558/alfa-romeo-147?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
126,https://www.polovniautomobili.com/auto-oglasi/21783481/alfa-romeo-156?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
127,https://www.polovniautomobili.com/auto-oglasi/21727517/alfa-romeo-156-19jtd-8v?attp=p1_pv0_pc1_pl1_plv0,,,,,,,,,,,
128,https://www.polovniautomobili.com/auto-oglasi/21561204/alfa-romeo-147-16?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
129,https://www.polovniautomobili.com/auto-oglasi/21852694/alfa-romeo-156-18?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
130,https://www.polovniautomobili.com/auto-oglasi/21556375/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
131,https://www.polovniautomobili.com/auto-oglasi/21850884/alfa-romeo-156-19?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
132,https://www.polovniautomobili.com/auto-oglasi/21849698/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
133,https://www.polovniautomobili.com/auto-oglasi/21849103/alfa-romeo-147-16-ts?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
134,https://www.polovniautomobili.com/auto-oglasi/21846260/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
135,https://www.polovniautomobili.com/auto-oglasi/21690968/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
136,https://www.polovniautomobili.com/auto-oglasi/21849375/alfa-romeo-156-19-jtd-regist?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
137,https://www.polovniautomobili.com/auto-oglasi/21857348/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
138,https://www.polovniautomobili.com/auto-oglasi/21840723/alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
139,https://www.polovniautomobili.com/auto-oglasi/20311694/alfa-romeo-147-19-jtd?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
140,https://www.polovniautomobili.com/auto-oglasi/21839720/alfa-romeo-147-alfa-romeo-147?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
141,https://www.polovniautomobili.com/auto-oglasi/21839475/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
142,https://www.polovniautomobili.com/auto-oglasi/21838897/alfa-romeo-145-alfa-145-14?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
143,https://www.polovniautomobili.com/auto-oglasi/21838155/alfa-romeo-156?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
144,https://www.polovniautomobili.com/auto-oglasi/21837374/alfa-romeo-146-citaj?attp=p0_pv0_pc0_pl1_plv0,,,,,,,,,,,
